n,C++-N,C++-L,C++-B-128,C++-B-256,C++-B-512,C++-B-1024
512,144690295,17453824,26730509,21955545,17360577,
1024,1154714686,151345565,214926003,175843461,157186782,140849626
1536,3913679620,572918827,724261783,590773595,527039954,
2048,14357996131,1510282415,1712232124,1395597192,1249108822,1184731059
2560,30203995414,4045380371,3332528490,2724566187,2432335646,
3072,55489802460,7214876380,5771457268,4719230252,4212933635,4033251968
4096,147594255161,17300312079,13714266681,11214945653,10181880346,9567737024
6144,498899468857,58305501712,46236158970,37738212514,33693942508,32295695666
8192,1178450890135,138261108563,109663545105,89467200193,81312297520,76412465692
10240,2307158503207,269803318430,213860670967,174575236096,155833001567,149166288390
