n,C++-N,C++-L,C++-B-128,C++-B-256,C++-B-512,C++-B-1024,P-N,P-L,PP-N,PP-L,PN-N,PN-L
512,0.300,0.051,0.083,0.075,0.074,,17.07,16.820,0.475,0.661,0.580,0.181
1024,3.343,0.342,0.531,0.546,0.510,0.483,151.403,134.520,3.973,5.289,5.515,1.403
1536,14.878,1.140,1.778,1.767,1.691,,550.667,472.742,18.231,17.966,23.052,4.947
2048,40.557,2.97792076,4.087,4.097,3.980,3.912,1337.473,1089.743,44.461,42.625,55.349,11.393
2560,85.065,6.063805483,7.888043773,7.968,7.709,,2731.605,2135.442,87.082,82.878,111.327,22.684
3072,149.787,10.87361645,13.65299514,13.725,13.405,13.184,4692.512,3679.208,143.811,142.200,206.206,38.779
4096,373.929,25.91703918,32.258,32.799,32.683,31.304,,,,,,
6144,1288.833,87.55407008,109.109,110.443,106.283,105.837,,,,,,
8192,3091.237,201.778,259.081,262.723,260.295,249.617,,,,,,
10240,6035.115,408.235,506.042,512.623,491.129,491.097,,,,,,
